token=26000
instrument=RELIANCE
timestamp=2025-11-16T10:32:48.856
ltp=1515.00
ltq=31
bids=
1515.00,14
1513.00,168
1512.00,455442
1511.00,1098129
1510.00,942389
1509.00,820170
1508.00,711974
1507.00,581112
1506.00,472025
1505.00,371293
1504.00,297170
1503.00,235622
1502.00,171539
1501.00,129044
1500.00,93560
1499.00,69501
1498.00,44834
1497.00,34647
1496.00,19043
1495.00,14590
1494.00,10697
1493.00,6809
1492.00,5487
1491.00,3337
1490.00,1486
1489.00,1298
1488.00,310
1487.00,145
1486.00,295
1484.00,63
asks=
1516.00,0
1517.00,166
1518.00,200
1520.00,174
1521.00,136
1524.00,3235
1525.00,1008876
1526.00,995249
1527.00,877385
1528.00,740568
1529.00,632328
1530.00,505217
1531.00,398524
1532.00,321536
1533.00,257155
1534.00,199383
1535.00,153104
1536.00,112347
1537.00,81945
1538.00,64073
1539.00,37755
1540.00,31422
1541.00,23711
1542.00,14445
1543.00,8277
1544.00,5892
1545.00,4711
1546.00,2177
1547.00,2263
1548.00,936
1549.00,671
1550.00,346
1551.00,215
1552.00,62
1554.00,80
